
# Surface 0 of 1 surfaces

# Curve title: "f(x,y)"

# Contour 0, label:      2.5
-0.0505051  4.70198  1.5 
 0.0136051  4.67871  1.5 
 0.0505051  4.66379  1.5 
 0.10022  4.63855  1.5 
 0.151515  4.60892  1.5 
 0.166823  4.59839  1.5 
 0.218421  4.55823  1.5 
 0.252525  4.52717  1.5 
 0.261303  4.51807  1.5 
 0.294935  4.47791  1.5 
 0.322868  4.43775  1.5 
 0.34556  4.39759  1.5 
 0.353535  4.3799  1.5 
 0.362837  4.35743  1.5 
 0.375445  4.31727  1.5 
 0.384087  4.27711  1.5 
 0.38896  4.23695  1.5 
 0.390228  4.19679  1.5 
 0.388028  4.15663  1.5 
 0.382475  4.11647  1.5 
 0.373662  4.07631  1.5 
 0.361664  4.03614  1.5 
 0.353535  4.01462  1.5 
 0.346282  3.99598  1.5 
 0.327475  3.95582  1.5 
 0.305628  3.91566  1.5 
 0.280793  3.8755  1.5 
 0.253011  3.83534  1.5 
 0.252525  3.83471  1.5 
 0.221154  3.79518  1.5 
 0.186494  3.75502  1.5 
 0.151515  3.71745  1.5 
 0.148989  3.71486  1.5 
 0.107104  3.6747  1.5 
 0.0627906  3.63454  1.5 
 0.0505051  3.62396  1.5 
 0.0141508  3.59438  1.5 
-0.0372276  3.55422  1.5 
-0.0505051  3.54421  1.5 
-0.0932955  3.51406  1.5 

# Contour 7, label: 
 1.66667  1.19028  1.5 
 1.67218  1.18474  1.5 
 1.70839  1.14458  1.5 
 1.74001  1.10442  1.5 
 1.76768  1.06452  1.5 
 1.76784  1.06426  1.5 
 1.79092  1.0241  1.5 
 1.81153  0.983936  1.5 
 1.83004  0.943775  1.5 
 1.84678  0.903614  1.5 
 1.862  0.863454  1.5 
 1.86869  0.844288  1.5 
 1.87551  0.823293  1.5 
 1.88757  0.783133  1.5 
 1.89869  0.742972  1.5 
 1.90898  0.702811  1.5 
 1.91854  0.662651  1.5 
 1.92748  0.62249  1.5 
 1.93584  0.582329  1.5 
 1.94372  0.542169  1.5 
 1.95114  0.502008  1.5 
 1.95817  0.461847  1.5 
 1.96484  0.421687  1.5 
 1.9697  0.39075  1.5 
 1.9711  0.381526  1.5 
 1.97678  0.341365  1.5 
 1.98218  0.301205  1.5 
 1.98729  0.261044  1.5 
 1.99212  0.220884  1.5 
 1.99666  0.180723  1.5 
 2.0009  0.140562  1.5 
 2.00482  0.100402  1.5 
 2.00837  0.060241  1.5 
 2.01152  0.0200803  1.5 
 2.01418 -0.0200803  1.5 
 2.01627 -0.060241  1.5 
 2.01766 -0.100402  1.5 
 2.0182 -0.140562  1.5 
 2.01768 -0.180723  1.5 
 2.01582 -0.220884  1.5 
 2.01227 -0.261044  1.5 
 2.00655 -0.301205  1.5 
 1.99803 -0.341365  1.5 
 1.98585 -0.381526  1.5 
 1.9697 -0.419911  1.5 
 1.96868 -0.421687  1.5 
 1.93948 -0.461847  1.5 
 1.89749 -0.502008  1.5 
 1.86869 -0.52271  1.5 
 1.81712 -0.542169  1.5 
 1.76768 -0.556638  1.5 
 1.66667 -0.562688  1.5 
 1.56566 -0.551767  1.5 

# Contour 8, label: 
 1.56566 -0.551767  1.5 
 1.52638 -0.542169  1.5 
 1.46465 -0.528937  1.5 
 1.38062 -0.502008  1.5 
 1.36364 -0.497184  1.5 
 1.2716 -0.461847  1.5 
 1.26263 -0.458763  1.5 
 1.1778 -0.421687  1.5 
 1.16162 -0.415286  1.5 
 1.09156 -0.381526  1.5 
 1.06061 -0.367889  1.5 
 1.00959 -0.341365  1.5 
 0.959596 -0.317366  1.5 
 0.930329 -0.301205  1.5 
 0.858586 -0.264268  1.5 
 0.853025 -0.261044  1.5 
 0.780138 -0.220884  1.5 
 0.757576 -0.209124  1.5 
 0.708585 -0.180723  1.5 
 0.656566 -0.152005  1.5 
 0.637609 -0.140562  1.5 
 0.568672 -0.100402  1.5 
 0.555556 -0.0929876  1.5 
 0.501999 -0.060241  1.5 
 0.454545 -0.0320306  1.5 
 0.435688 -0.0200803  1.5 
 0.371361  0.0200803  1.5 
 0.353535  0.0310881  1.5 
 0.308805  0.060241  1.5 
 0.252525  0.0966384  1.5 
 0.24694  0.100402  1.5 
 0.18779  0.140562  1.5 
 0.151515  0.165327  1.5 
 0.129661  0.180723  1.5 
 0.0736041  0.220884  1.5 
 0.0505051  0.23778  1.5 
 0.0193882  0.261044  1.5 
-0.0328463  0.301205  1.5 
-0.0505051  0.315265  1.5 
-0.0828879  0.341365  1.5 
-0.1307  0.381526  1.5 
-0.151515  0.399878  1.5 
-0.176192  0.421687  1.5 
-0.2191  0.461847  1.5 
-0.252525  0.49511  1.5 
-0.259511  0.502008  1.5 
-0.297128  0.542169  1.5 
-0.331866  0.582329  1.5 
-0.353535  0.609822  1.5 
-0.363694  0.62249  1.5 
-0.39245  0.662651  1.5 
-0.417911  0.702811  1.5 
-0.439988  0.742972  1.5 
-0.454545  0.774576  1.5 
-0.458601  0.783133  1.5 
-0.47362  0.823293  1.5 
-0.484729  0.863454  1.5 
-0.491727  0.903614  1.5 
-0.494355  0.943775  1.5 
-0.492281  0.983936  1.5 
-0.485079  1.0241  1.5 
-0.472209  1.06426  1.5 
-0.454545  1.10128  1.5 
-0.452967  1.10442  1.5 
-0.426276  1.14458  1.5 
-0.391022  1.18474  1.5 
-0.353535  1.21827  1.5 
-0.345438  1.2249  1.5 
-0.286328  1.26506  1.5 
-0.252525  1.28401  1.5 
-0.209836  1.30522  1.5 
-0.151515  1.32981  1.5 
-0.108605  1.34538  1.5 
-0.0505051  1.36381  1.5 
 0.0317824  1.38554  1.5 
 0.0505051  1.38997  1.5 
 0.151515  1.40996  1.5 
 0.252525  1.42556  1.5 
 0.253675  1.4257  1.5 
 0.353535  1.43702  1.5 
 0.454545  1.44521  1.5 
 0.555556  1.45038  1.5 
 0.656566  1.45265  1.5 
 0.757576  1.45203  1.5 
 0.858586  1.44837  1.5 
 0.959596  1.44141  1.5 
 1.06061  1.4307  1.5 
 1.09487  1.4257  1.5 
 1.16162  1.41531  1.5 
 1.26263  1.3942  1.5 
 1.29501  1.38554  1.5 
 1.36364  1.36539  1.5 
 1.41774  1.34538  1.5 
 1.46465  1.32598  1.5 
 1.50587  1.30522  1.5 
 1.56566  1.27085  1.5 
 1.57417  1.26506  1.5 
 1.62722  1.2249  1.5 
 1.66667  1.19028  1.5 

# Contour 9, label: 
-2.55491 -0.823293  1.5 
-2.56394 -0.863454  1.5 
-2.57563 -0.903614  1.5 
-2.57576 -0.903983  1.5 
-2.5909 -0.943775  1.5 
-2.60981 -0.983936  1.5 
-2.63299 -1.0241  1.5 
-2.6613 -1.06426  1.5 
-2.67677 -1.08281  1.5 
-2.69701 -1.10442  1.5 
-2.74199 -1.14458  1.5 
-2.77778 -1.17109  1.5 
-2.79934 -1.18474  1.5 
-2.87521 -1.2249  1.5 
-2.87879 -1.22653  1.5 
-2.9798 -1.26389  1.5 
-2.98385 -1.26506  1.5 
-3.08081 -1.28969  1.5 
-3.16576 -1.30522  1.5 
-3.18182 -1.30785  1.5 
-3.28283 -1.31972  1.5 
-3.38384 -1.32687  1.5 
-3.48485 -1.32994  1.5 
-3.58586 -1.32932  1.5 
-3.68687 -1.32524  1.5 
-3.78788 -1.31777  1.5 
-3.88889 -1.30687  1.5 

# Contour 10, label: 
-3.88889 -1.30687  1.5 
-3.90047 -1.30522  1.5 
-3.9899 -1.29188  1.5 
-4.09091 -1.27279  1.5 
-4.12457 -1.26506  1.5 
-4.19192 -1.24855  1.5 
-4.27244 -1.2249  1.5 
-4.29293 -1.21839  1.5 
-4.38336 -1.18474  1.5 
-4.39394 -1.18042  1.5 
-4.47048 -1.14458  1.5 
-4.49495 -1.13181  1.5 
-4.54165 -1.10442  1.5 
-4.59596 -1.06832  1.5 
-4.6015 -1.06426  1.5 
-4.65039 -1.0241  1.5 
-4.69257 -0.983936  1.5 
-4.69697 -0.979148  1.5 
-4.72715 -0.943775  1.5 
-4.75633 -0.903614  1.5 
-4.78078 -0.863454  1.5 
-4.79798 -0.829149  1.5 
-4.80077 -0.823293  1.5 
-4.81625 -0.783133  1.5 
-4.82807 -0.742972  1.5 
-4.83641 -0.702811  1.5 
-4.84143 -0.662651  1.5 
-4.84323 -0.62249  1.5 
-4.8419 -0.582329  1.5 
-4.83747 -0.542169  1.5 
-4.82997 -0.502008  1.5 
-4.81939 -0.461847  1.5 
-4.80571 -0.421687  1.5 
-4.79798 -0.403142  1.5 
-4.78863 -0.381526  1.5 
-4.76808 -0.341365  1.5 
-4.74419 -0.301205  1.5 
-4.71688 -0.261044  1.5 
-4.69697 -0.234973  1.5 
-4.68562 -0.220884  1.5 
-4.64993 -0.180723  1.5 
-4.61043 -0.140562  1.5 
-4.59596 -0.126992  1.5 
-4.56558 -0.100402  1.5 
-4.51592 -0.060241  1.5 
-4.49495 -0.0443895  1.5 
-4.45992 -0.0200803  1.5 
-4.39818  0.0200803  1.5 
-4.39394  0.0227133  1.5 
-4.32686  0.060241  1.5 
-4.29293  0.0783575  1.5 
-4.24613  0.100402  1.5 
-4.19192  0.125075  1.5 
-4.15234  0.140562  1.5 
-4.09091  0.164063  1.5 
-4.0386  0.180723  1.5 
-3.9899  0.196063  1.5 
-3.89114  0.220884  1.5 
-3.88889  0.221449  1.5 
-3.78788  0.240423  1.5 
-3.68687  0.252909  1.5 
-3.58586  0.258754  1.5 
-3.48485  0.257638  1.5 
-3.38384  0.249042  1.5 
-3.28283  0.232189  1.5 
-3.23798  0.220884  1.5 
-3.18182  0.206006  1.5 
-3.11158  0.180723  1.5 
-3.08081  0.168915  1.5 
-3.02208  0.140562  1.5 
-2.9798  0.118465  1.5 
-2.95089  0.100402  1.5 
-2.89185  0.060241  1.5 
-2.87879  0.0506445  1.5 
-2.84252  0.0200803  1.5 
-2.7993 -0.0200803  1.5 
-2.77778 -0.041977  1.5 
-2.76162 -0.060241  1.5 
-2.72901 -0.100402  1.5 
-2.69974 -0.140562  1.5 
-2.67677 -0.175564  1.5 
-2.67363 -0.180723  1.5 
-2.65123 -0.220884  1.5 
-2.63126 -0.261044  1.5 
-2.61355 -0.301205  1.5 
-2.59794 -0.341365  1.5 
-2.58433 -0.381526  1.5 
-2.57576 -0.410773  1.5 
-2.5727 -0.421687  1.5 
-2.56311 -0.461847  1.5 
-2.55524 -0.502008  1.5 
-2.54905 -0.542169  1.5 
-2.54453 -0.582329  1.5 
-2.54169 -0.62249  1.5 
-2.54057 -0.662651  1.5 
-2.54122 -0.702811  1.5 
-2.54374 -0.742972  1.5 
-2.54825 -0.783133  1.5 
-2.55491 -0.823293  1.5 

# Contour 11, label: 
 0.104588 -2.95181  1.5 
 0.0532075 -2.99197  1.5 
 0.0505051 -2.99401  1.5 
-0.00179739 -3.03213  1.5 
-0.0505051 -3.0671  1.5 
-0.0581112 -3.07229  1.5 
-0.118036 -3.11245  1.5 
-0.151515 -3.13473  1.5 
-0.180162 -3.15261  1.5 
-0.244549 -3.19277  1.5 
-0.252525 -3.19773  1.5 
-0.313841 -3.23293  1.5 
-0.353535 -3.256  1.5 
-0.386145 -3.27309  1.5 
-0.454545 -3.30963  1.5 
-0.462277 -3.31325  1.5 
-0.546135 -3.35341  1.5 
-0.555556 -3.35805  1.5 
-0.640477 -3.39357  1.5 
-0.656566 -3.40055  1.5 
-0.751088 -3.43373  1.5 
-0.757576 -3.43611  1.5 
-0.858586 -3.46338  1.5 
-0.921326 -3.4739  1.5 
-0.959596 -3.48067  1.5 
-1.06061 -3.48588  1.5 
-1.16162 -3.47633  1.5 

# Contour 12, label: 
-1.16162 -3.47633  1.5 
-1.17105 -3.4739  1.5 
-1.26263 -3.44815  1.5 
-1.29241 -3.43373  1.5 
-1.36364 -3.39526  1.5 
-1.36583 -3.39357  1.5 
-1.4143 -3.35341  1.5 
-1.45672 -3.31325  1.5 
-1.46465 -3.30499  1.5 
-1.48886 -3.27309  1.5 
-1.51606 -3.23293  1.5 
-1.54004 -3.19277  1.5 
-1.56108 -3.15261  1.5 
-1.56566 -3.14284  1.5 
-1.57777 -3.11245  1.5 
-1.59186 -3.07229  1.5 
-1.60405 -3.03213  1.5 
-1.61446 -2.99197  1.5 
-1.6232 -2.95181  1.5 
-1.63036 -2.91165  1.5 
-1.63601 -2.87149  1.5 
-1.64019 -2.83133  1.5 
-1.64295 -2.79116  1.5 
-1.64431 -2.751  1.5 
-1.64427 -2.71084  1.5 
-1.64281 -2.67068  1.5 
-1.6399 -2.63052  1.5 
-1.63549 -2.59036  1.5 
-1.62949 -2.5502  1.5 
-1.62181 -2.51004  1.5 
-1.61229 -2.46988  1.5 
-1.60076 -2.42972  1.5 
-1.587 -2.38956  1.5 
-1.57073 -2.3494  1.5 
-1.56566 -2.3385  1.5 
-1.55034 -2.30924  1.5 
-1.52595 -2.26908  1.5 
-1.49738 -2.22892  1.5 
-1.46465 -2.18968  1.5 
-1.46375 -2.18876  1.5 
-1.42037 -2.14859  1.5 
-1.36907 -2.10843  1.5 
-1.36364 -2.10465  1.5 
-1.30174 -2.06827  1.5 
-1.26263 -2.04827  1.5 
-1.21486 -2.02811  1.5 
-1.16162 -2.00807  1.5 
-1.09536 -1.98795  1.5 
-1.06061 -1.97833  1.5 
-0.959596 -1.95598  1.5 
-0.912265 -1.94779  1.5 
-0.858586 -1.93906  1.5 
-0.757576 -1.92644  1.5 
-0.656566 -1.91722  1.5 
-0.555556 -1.911  1.5 
-0.455696 -1.90763  1.5 
-0.454545 -1.90759  1.5 
-0.353535 -1.90695  1.5 
-0.320052 -1.90763  1.5 
-0.252525 -1.90911  1.5 
-0.151515 -1.9144  1.5 
-0.0505051 -1.92327  1.5 
 0.0505051 -1.93645  1.5 
 0.114127 -1.94779  1.5 
 0.151515 -1.95543  1.5 
 0.252525 -1.98264  1.5 
 0.268274 -1.98795  1.5 
